2018-06-04,0,1571,74,35000,0
2018-06-05,0,1523,73,30000,0
2018-06-06,0,1268,82,25000,0
2018-06-07,0,1398,79,20000,0
2018-06-08,0,1337,79,15000,0
2018-06-09,0,1074,53,10000,0
2018-06-10,0,424,24,0,0
2018-06-11,0,655,30,5000,0
2018-06-12,0,1027,31,0,0
2018-06-13,0,1514,103,30000,0
2018-06-14,0,1581,113,30000,0
2018-06-15,0,1119,193,30000,0
2018-06-16,0,466,25,5000,0
2018-06-17,0,429,25,0,0
2018-06-18,0,9057,75,20000,0
2018-06-19,0,1479,83,15000,0
2018-06-20,0,1245,60,30000,0
2018-06-21,0,1339,71,5000,0
2018-06-22,0,1279,57,15000,0
2018-06-23,0,441,22,0,0
2018-06-24,0,417,23,0,0
2018-06-25,0,1027,67,35000,0
2018-06-26,0,1073,62,15000,0
2018-06-27,0,1551,62,0,0
2018-06-28,0,1136,82,15000,0
2018-06-29,0,1270,68,40000,0
2018-06-30,0,625,14,0,0
2018-07-01,0,472,15,0,0
2018-07-02,0,1273,72,15000,0
2018-07-03,0,1887,81,35000,0
2018-07-04,0,1930,64,20000,0
2018-07-05,0,1616,58,15000,0
2018-07-06,0,1228,55,30000,0
2018-07-07,0,473,11,5000,0
2018-07-08,0,548,19,5000,0
2018-07-09,0,1119,67,5000,0
2018-07-10,0,1313,68,15000,0
2018-07-11,0,1593,62,45000,0
2018-07-12,0,1612,72,25000,0
2018-07-13,0,1433,68,5000,0
2018-07-14,0,643,17,0,0
2018-07-15,0,537,12,0,0
2018-07-16,0,1274,61,20000,0
2018-07-17,0,1246,75,5000,0
2018-07-18,0,1297,64,15000,0
2018-07-19,0,1450,73,35000,0
2018-07-20,0,1248,69,10000,0
2018-07-21,0,767,19,0,0
2018-07-22,0,827,13,0,0
2018-07-23,0,1261,75,20000,0
2018-07-24,0,1654,75,20000,0
2018-07-25,0,2069,74,15000,0
2018-07-26,0,1867,81,20000,0
2018-07-27,0,1708,71,25000,0
2018-07-28,0,626,25,10000,0
2018-07-29,0,697,16,0,0
2018-07-30,0,1141,63,50000,0
2018-07-31,0,1514,62,45000,0
2018-08-01,0,1562,53,10000,0
2018-08-02,0,1379,69,30000,0
2018-08-03,0,1266,62,20000,0
2018-08-04,0,719,16,0,0
2018-08-05,0,400,17,0,0
2018-08-06,0,1348,68,45000,0
2018-08-07,0,1725,73,0,0
2018-08-08,0,1398,65,0,0
