2018-08-22,43072,303
2018-08-23,38562,170
2018-08-24,35232,142
2018-08-25,23822,97
2018-08-26,23922,98
2018-08-27,37282,123
2018-08-28,38032,130
2018-08-29,36812,95
2018-08-30,34792,181
2018-08-31,35602,109
2018-09-01,19702,84
2018-09-02,19402,68
2018-09-03,35212,184
2018-09-04,43522,130
2018-09-05,29112,127
2018-09-06,35722,106
2018-09-07,27052,108
2018-09-08,25682,3795
2018-09-09,23382,84
2018-09-10,33292,144
2018-09-11,37652,213
2018-09-12,44442,218
2018-09-13,44092,110
2018-09-14,40352,145
2018-09-15,24932,97
2018-09-16,25552,141
2018-09-17,40232,148
2018-09-18,35492,151
2018-09-19,37642,145
2018-09-20,35782,144
2018-09-21,38632,94
2018-09-22,27222,272
2018-09-23,23862,324
2018-09-24,35592,202
2018-09-25,36452,119
2018-09-26,45982,207
2018-09-27,46672,128
2018-09-28,42312,110
2018-09-29,23322,81
2018-09-30,20272,72
2018-10-01,35442,98
2018-10-02,47052,142
2018-10-03,39992,82
2018-10-04,45822,110
2018-10-05,37692,103
2018-10-06,24252,87
2018-10-07,26302,105
2018-10-08,32012,108
2018-10-09,44562,127
2018-10-10,40982,166
2018-10-11,34692,134
2018-10-12,31512,93
2018-10-13,24582,78
2018-10-14,28532,75
2018-10-15,34772,110
2018-10-16,47392,101
2018-10-17,47922,115
2018-10-18,46032,136
2018-10-19,36512,128
2018-10-20,23432,72
2018-10-21,27912,89
2018-10-22,37952,113
2018-10-23,43162,109
2018-10-24,48092,131
2018-10-25,45132,274
2018-10-26,43252,188
2018-10-27,25872,109
2018-10-28,24032,77
2018-10-29,39322,116
2018-10-30,45322,171
2018-10-31,47932,184
2018-11-01,39452,119
2018-11-02,44172,113
2018-11-03,34792,106
2018-11-04,27482,76
2018-11-05,30942,110
2018-11-06,39682,119
2018-11-07,41062,124
2018-11-08,49222,110
2018-11-09,52192,118
2018-11-10,43442,110
2018-11-11,38952,170
2018-11-12,38832,145
2018-11-13,50312,124
2018-11-14,43532,156
2018-11-15,44682,143
2018-11-16,48592,147
2018-11-17,36452,121
2018-11-18,27892,118
2018-11-19,43352,164
2018-11-20,46242,147
2018-11-21,44532,548
2018-11-22,45342,2259
2018-11-23,36522,1108
2018-11-24,21622,458
2018-11-25,21692,244
2018-11-26,38562,241
2018-11-27,49782,1350
2018-11-28,45912,367
2018-11-29,43042,142
2018-11-30,53652,161
2018-12-01,35522,147
2018-12-02,34962,121
2018-12-03,46462,149
2018-12-04,63272,268
2018-12-05,45512,230
2018-12-06,49572,185
2018-12-07,64552,194
2018-12-08,30762,157
2018-12-09,36562,227
2018-12-10,56702,144
2018-12-11,63892,142
2018-12-12,51552,271
2018-12-13,40092,159
2018-12-14,45292,632
2018-12-15,26542,209
2018-12-16,20542,112
2018-12-17,46382,159
2018-12-18,43752,108
2018-12-19,50202,121
2018-12-20,48922,128
2018-12-21,59072,131
2018-12-22,34342,109
2018-12-23,30242,97
2018-12-24,46232,126
2018-12-25,41872,125
2018-12-26,38902,134
2018-12-27,46982,179
2018-12-28,49332,140
2018-12-29,32472,115
2018-12-30,27302,109
2018-12-31,31472,106
2019-01-01,27002,131
2019-01-02,35382,144
2019-01-03,40782,104
2019-01-04,42812,301
2019-01-05,38532,194
2019-01-06,35802,137
2019-01-07,46782,177
2019-01-08,58662,150
2019-01-09,61542,153
2019-01-10,60902,182
2019-01-11,60352,209
2019-01-12,34072,127
2019-01-13,36482,136
2019-01-14,55942,136
2019-01-15,77182,174
2019-01-16,58822,162
2019-01-17,67872,170
2019-01-18,68892,183
2019-01-19,33852,159
2019-01-20,35772,153
2019-01-21,58882,176
2019-01-22,76602,183
2019-01-23,70672,177
2019-01-24,52032,212
2019-01-25,55082,251
2019-01-26,48192,169
2019-01-27,31922,150
2019-01-28,63462,233
2019-01-29,85652,257
2019-01-30,76262,209
2019-01-31,72932,203
2019-02-01,58282,182
2019-02-02,39412,161
2019-02-03,42262,182
2019-02-04,55312,172
2019-02-05,55122,156
2019-02-06,70122,195
2019-02-07,52892,181
2019-02-08,53922,181
2019-02-09,35742,163
2019-02-10,41132,184
2019-02-11,57802,202
2019-02-12,50532,144
2019-02-13,69402,195
2019-02-14,72952,214
2019-02-15,64842,266
2019-02-16,38302,129
2019-02-17,32982,158
2019-02-18,68822,213
2019-02-19,75212,221
2019-02-20,59892,213
2019-02-21,62762,225
2019-02-22,60122,162
2019-02-23,37202,103
2019-02-24,34542,157
2019-02-25,52612,177
2019-02-26,61802,229
2019-02-27,61382,178
2019-02-28,61782,196
2019-03-01,57432,152
2019-03-02,29232,110
2019-03-03,32932,125
2019-03-04,47682,194
2019-03-05,62892,635
2019-03-06,66502,244
2019-03-07,60532,165
2019-03-08,47672,162
2019-03-09,42852,136
2019-03-10,40172,166
2019-03-11,57212,179
2019-03-12,67062,190
2019-03-13,84272,189
2019-03-14,74732,190
2019-03-15,84782,209
2019-03-16,42282,193
2019-03-17,37372,204
2019-03-18,55722,201
2019-03-19,64432,235
2019-03-20,86402,232
2019-03-21,77202,198
2019-03-22,76432,222
2019-03-23,39062,173
2019-03-24,42502,143
2019-03-25,62792,185
2019-03-26,75212,331
2019-03-27,64202,242
2019-03-28,68942,201
2019-03-29,69032,164
2019-03-30,43282,173
2019-03-31,47162,242
2019-04-01,70122,299
2019-04-02,63482,213
2019-04-03,70172,233
2019-04-04,88422,258
2019-04-05,70142,193
2019-04-06,55402,194
2019-04-07,51962,188
2019-04-08,76142,227
2019-04-09,62462,209
2019-04-10,66132,214
2019-04-11,72032,238
2019-04-12,67382,259
2019-04-13,52862,190
2019-04-14,45652,241
2019-04-15,55002,268
2019-04-16,83362,275
2019-04-17,73452,257
2019-04-18,61812,286
2019-04-19,63242,224
2019-04-20,44462,162
2019-04-21,38792,188
2019-04-22,56612,217
2019-04-23,73812,269
2019-04-24,58602,217
2019-04-25,70542,176
2019-04-26,68872,201
2019-04-27,36082,168
2019-04-28,40122,215
2019-04-29,60022,254
2019-04-30,71572,316
2019-05-01,60322,260
2019-05-02,49482,240
2019-05-03,48822,216
2019-05-04,52342,165
2019-05-05,46672,213
2019-05-06,60512,236
2019-05-07,65172,234
2019-05-08,68142,215
2019-05-09,47412,202
2019-05-10,51332,213
2019-05-11,44242,156
2019-05-12,50202,198
2019-05-13,76672,242
2019-05-14,79432,197
2019-05-15,78122,220
2019-05-16,97852,223
2019-05-17,57622,212
2019-05-18,46392,173
2019-05-19,44932,153
2019-05-20,71122,209
2019-05-21,70282,232
2019-05-22,69702,258
2019-05-23,72452,258
2019-05-24,70482,378
2019-05-25,32412,212
2019-05-26,33562,187
2019-05-27,52282,181
2019-05-28,61172,198
2019-05-29,73352,211
2019-05-30,73232,272
2019-05-31,88342,254
2019-06-01,46922,174
2019-06-02,44182,198
2019-06-03,64632,258
2019-06-04,67662,255
2019-06-05,77882,266
2019-06-06,79832,232
2019-06-07,67112,181
2019-06-08,49202,227
2019-06-09,49672,226
2019-06-10,89452,318
2019-06-11,94122,238
2019-06-12,69822,209
2019-06-13,69942,207
2019-06-14,68392,227
2019-06-15,42062,225
2019-06-16,71802,282
2019-06-17,81762,254
2019-06-18,78062,251
2019-06-19,96112,214
2019-06-20,81492,175
2019-06-21,67422,174
2019-06-22,53192,154
2019-06-23,47672,155
2019-06-24,83812,245
2019-06-25,74122,197
2019-06-26,83292,196
2019-06-27,73692,196
2019-06-28,56052,195
2019-06-29,58542,191
2019-06-30,43402,199
2019-07-01,81122,269
2019-07-02,81972,257
2019-07-03,79632,236
2019-07-04,71232,212
2019-07-05,53482,167
2019-07-06,40842,170
2019-07-07,44732,219
2019-07-08,61372,254
2019-07-09,65302,234
2019-07-10,86252,221
2019-07-11,76742,199
2019-07-12,72252,209
2019-07-13,58142,169
2019-07-14,46662,212
2019-07-15,72142,430
2019-07-16,85632,516
2019-07-17,73972,286
2019-07-18,71632,322
2019-07-19,70662,250
2019-07-20,56782,229
2019-07-21,49992,185
2019-07-22,68532,186
2019-07-23,69642,271
2019-07-24,71332,267
2019-07-25,81852,279
2019-07-26,70092,238
2019-07-27,43842,195
2019-07-28,43822,180
2019-07-29,70372,226
2019-07-30,73962,240
2019-07-31,71852,226
2019-08-01,76622,323
2019-08-02,70432,339
2019-08-03,41492,238
2019-08-04,35742,308
2019-08-05,74282,304
2019-08-06,76842,280
2019-08-07,77272,282
2019-08-08,67002,334
2019-08-09,78192,265
2019-08-10,43882,190
2019-08-11,35182,168
2019-08-12,64662,222
2019-08-13,75152,184
2019-08-14,79722,282
