2018-07-20,149,55,4668
2018-07-21,131,47,2858
2018-07-22,107,31,2270
2018-07-23,129,54,3552
2018-07-24,127,51,3719
2018-07-25,160,58,4224
2018-07-26,189,60,3948
2018-07-27,125,56,3028
2018-07-28,117,35,1700
2018-07-29,118,32,2363
2018-07-30,135,62,3303
2018-07-31,142,45,3638
2018-08-01,115,62,2901
2018-08-02,130,64,3949
2018-08-03,120,53,3537
2018-08-04,61,32,1451
2018-08-05,76,31,1693
2018-08-06,113,58,2959
2018-08-07,1203,56,2963
2018-08-08,584,58,3433
2018-08-09,846,66,3887
2018-08-10,751,78,3547
2018-08-11,351,43,2056
2018-08-12,972,26,2448
2018-08-13,510,57,2620
2018-08-14,389,69,3612
2018-08-15,316,67,3412
2018-08-16,229,58,3344
2018-08-17,184,56,3763
2018-08-18,157,38,2401
2018-08-19,175,30,2040
2018-08-20,272,73,3799
2018-08-21,244,89,4807
2018-08-22,303,74,4307
2018-08-23,170,97,3856
2018-08-24,142,65,3523
2018-08-25,97,61,2382
2018-08-26,98,36,2392
2018-08-27,123,70,3728
2018-08-28,130,76,3803
2018-08-29,95,73,3681
2018-08-30,181,79,3479
2018-08-31,109,87,3560
2018-09-01,84,50,1970
2018-09-02,68,36,1940
2018-09-03,184,59,3521
2018-09-04,130,81,4352
2018-09-05,127,70,2911
2018-09-06,106,71,3572
2018-09-07,108,67,2705
2018-09-08,3795,46,2568
2018-09-09,84,35,2338
2018-09-10,144,78,3329
2018-09-11,213,64,3765
2018-09-12,218,89,4444
2018-09-13,110,94,4409
2018-09-14,145,62,4035
2018-09-15,97,44,2493
2018-09-16,141,64,2555
2018-09-17,148,105,4023
2018-09-18,151,99,3549
2018-09-19,145,104,3764
2018-09-20,144,78,3578
2018-09-21,94,73,3863
2018-09-22,272,57,2722
2018-09-23,324,46,2386
2018-09-24,202,80,3559
2018-09-25,119,86,3645
2018-09-26,207,85,4598
2018-09-27,128,92,4667
2018-09-28,110,85,4231
2018-09-29,81,47,2332
2018-09-30,72,41,2027
2018-10-01,98,72,3544
2018-10-02,142,76,4705
2018-10-03,82,69,3999
2018-10-04,110,83,4582
2018-10-05,103,76,3769
2018-10-06,87,43,2425
2018-10-07,105,46,2630
2018-10-08,108,74,3201
2018-10-09,127,62,4456
2018-10-10,166,57,4098
2018-10-11,134,78,3469
2018-10-12,93,56,3151
2018-10-13,78,34,2458
2018-10-14,75,49,2853
2018-10-15,110,65,3477
2018-10-16,101,88,4739
2018-10-17,115,107,4792
2018-10-18,136,133,4603
2018-10-19,128,67,3651
2018-10-20,72,32,2343
2018-10-21,89,40,2791
2018-10-22,113,64,3795
2018-10-23,109,76,4316
2018-10-24,131,61,4809
2018-10-25,274,84,4513
2018-10-26,188,69,4325
2018-10-27,109,57,2587
2018-10-28,77,54,2403
2018-10-29,116,70,3932
2018-10-30,171,80,4532
2018-10-31,184,84,4793
2018-11-01,119,76,3945
2018-11-02,113,75,4417
2018-11-03,106,53,3479
2018-11-04,76,42,2748
2018-11-05,110,56,3094
2018-11-06,119,67,3968
2018-11-07,124,84,4106
2018-11-08,110,78,4922
2018-11-09,118,78,5219
2018-11-10,110,45,4344
2018-11-11,170,41,3895
2018-11-12,145,73,3883
2018-11-13,124,75,5031
2018-11-14,156,87,4353
2018-11-15,143,74,4468
2018-11-16,147,81,4859
2018-11-17,121,56,3645
2018-11-18,118,65,2789
